name,lat,long,pics
ca.si.1 ,43.521023,-6.391369,ca.si.1_1;ca.si.1_2;ca.si.1_3
ca.si.2 ,43.523885,-6.386801,
ca.si.3 ,43.524018,-6.383904,
ca.si.4 ,43.524152,-6.383768,
ca.si.5 ,43.525176,-6.384473,
ca.si.6 ,43.529836,-6.383082,
ca.si.7 ,43.528348,-6.382617,
ca.si.8 ,43.525038,-6.388394,
ca.si.9,43.526306,-6.387535,
ca.si.10 ,43.516598,-6.386198,
ca.si.11 ,43.515634,-6.387485,
ca.si.12 ,43.515747,-6.387925,
ca.si.13 ,43.515369,-6.385031,
ca.si.14 ,43.521178,-6.384704,
cb.si.1 ,43.519641,-6.393629,
cb.si.2 ,43.522639,-6.385872,
cb.si.3 ,43.525058,-6.384489,
cb.si.4 ,43.525479,-6.384418,
cb.si.5 ,43.525859,-6.385213,
cb.si.6 ,43.526044,-6.38513,
cb.si.7 ,43.525806,-6.386771,
cb.si.8 ,43.524137,-6.387294,
cb.si.10 ,43.529385,-6.383058,
cb.si.11 ,43.527969,-6.381754,
cb.si.12,43.526099,-6.387527,
cb.si.13 ,43.526194,-6.387444,
cb.si.14 ,43.520863,-6.385808,
cb.si.15 ,43.51609,-6.386359,
cb.si.16 ,43.515955,-6.386258,
cb.si.17 ,43.515792,-6.388306,
cb.si.18 ,43.519281,-6.384615,
cb.si.19 ,43.519484,-6.384484,
cb.si.20 ,43.520301,-6.386025,
cb.si.21 ,43.520403,-6.385039,
es.si.1 ,43.523944,-6.38443,
ca.ca.1 ,43.551504,-6.379434,
cc.ca.1 ,43.546862,-6.3865,
cc.ca.2 ,43.548042,-6.385815,
cc.ca.3 ,43.551157,-6.380161,
ca.vi.1 ,43.549021,-6.398771,
cc.vi.1 ,43.549187,-6.396894,
ca.al.1 ,43.534614,-6.527726,
ca.al.2 ,43.533454,-6.52736,
ca.al.3 ,43.532222,-6.525104,
ca.al.4 ,43.535716,-6.525426,
cc.al.1 ,43.536263,-6.528023,
cc.al.2 ,43.53302,-6.527114,
cc.al.3 ,43.535927,-6.524136,
cc.al.4 ,43.539288,-6.52349,
cc.al.5 ,43.542731,-6.531489,
cc.al.6 ,43.535718,-6.526141,
cc.al.7 ,43.533261,-6.52729,
cc.al.8 ,43.532617,-6.525021,
cc.al.9 ,43.535309,-6.525963,
ci.vl.1 ,43.543365,-6.527526,
ci.vl.2 ,43.543904,-6.528063,
ca.mu.1 ,43.494072,-6.316697,
ca.mu.2 ,43.49249,-6.316123,
cb.mu.1 ,43.495326,-6.315887,
cb.mu.2 ,43.494995,-6.316126,
cb.mu.3 ,43.492727,-6.315859,
cb.mu.4 ,43.494484,-6.314529,
cb.mu.5 ,43.493173,-6.315104,
cb.mu.6,43.49108,-6.318581,
cb.mu.7 ,43.491053,-6.316354,
cb.mu.8 ,43.49291,-6.313291,
cb.mu.9 ,43.493439,-6.317221,
cb.mu.10 ,43.493266,-6.317476,
ca.bu.1 ,43.453159,-6.429185,
ca.bu.2 ,43.453295,-6.429074,
ca.bu.3 ,43.454947,-6.428724,
cb.bu.1 ,43.456287,-6.427108,
cb.bu.2 ,43.455024,-6.428421,
